poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
schlaf,2,2.0,0.5,4,1,1,0,False,False,0.5
scottw,2,1.5,0.0,3,0,0,0,False,False,0.0
scoushik,5,3.2,0.8,16,4,2,0,False,False,0.4
sean_a_rose,1,1.0,0.0,1,0,0,0,False,False,0.0
sebagon,1,5.0,1.0,5,1,1,0,False,False,1.0
semil,162,2.0,0.38,324,61,23,3,False,False,0.14
setfive,2,4.5,7.0,9,14,1,1,False,False,0.5
sethbannon,1,1.0,0.0,1,0,0,0,False,False,0.0
sethjs,1,3.0,2.0,3,2,1,0,False,False,1.0
shanacarp,4,2.5,1.0,10,4,1,0,False,False,0.25
shannon_ritchie,1,11.0,4.0,11,4,1,0,False,False,1.0
shekhar15453969,1,1.0,0.0,1,0,0,0,False,False,0.0
shesaidberkeley,1,1.0,0.0,1,0,0,0,False,False,0.0
shoebox,1,2.0,1.0,2,1,1,0,False,False,1.0
shrikar84,4,3.5,1.25,14,5,2,0,False,False,0.5
simondlr,1,2.0,1.0,2,1,1,0,False,False,1.0
singularityhack,1,3.0,0.0,3,0,0,0,False,False,0.0
sjvn,357,1.85,0.22,659,78,25,1,False,False,0.07
sktthemes,2,1.0,0.0,2,0,0,0,False,False,0.0
slfisher,100,2.64,0.15,264,15,11,0,False,False,0.11
smalera,2,1.0,1.5,2,3,2,0,False,False,1.0
smalter,1,2.0,0.0,2,0,0,0,False,False,0.0
smandalika,1,1.0,0.0,1,0,0,0,False,False,0.0
solarfeeds,1,1.0,4.0,1,4,1,0,False,False,1.0
sotirov,1,1.0,0.0,1,0,0,0,False,False,0.0
soundboy,2,4.0,0.0,8,0,0,0,False,False,0.0
southcargo,1,1.0,1.0,1,1,1,0,False,False,1.0
sparkcatalyst,1,2.0,0.0,2,0,0,0,False,False,0.0
spetulla,7,2.0,0.43,14,3,2,0,False,False,0.29
sqs,2,2.5,0.0,5,0,0,0,False,False,0.0
stanlerds,1,1.0,0.0,1,0,0,0,False,False,0.0
starkness,1,6.0,4.0,6,4,1,0,False,False,1.0
startupandrew,2,10.5,2.5,21,5,1,1,False,False,0.5
statspotting,44,1.52,0.32,67,14,5,1,False,False,0.11
staysmall,68,2.07,1.16,141,79,20,4,False,False,0.29
stefanobernardi,1,2.0,0.0,2,0,0,0,False,False,0.0
steve_Zbranek,1,1.0,0.0,1,0,0,0,False,False,0.0
steverandy,1,1.0,0.0,1,0,0,0,False,False,0.0
strategicwebs,9,1.0,0.0,9,0,0,0,False,False,0.0
sunstonecomms,1,1.0,0.0,1,0,0,0,False,False,0.0
sylvaingrande,1,5.0,0.0,5,0,0,0,False,False,0.0
sylvainutard,3,9.33,3.0,28,9,1,1,False,False,0.33
sylvie_bolioli,1,3.0,0.0,3,0,0,0,False,False,0.0
sytses,1,1.0,1.0,1,1,1,0,False,False,1.0
takartem,1,4.0,1.0,4,1,1,0,False,False,1.0
tareasplus,1,49.0,11.0,49,11,1,1,False,False,1.0
taxsmartapps,1,1.0,2.0,1,2,1,0,False,False,1.0
tdavidson,3,2.0,0.67,6,2,2,0,False,False,0.67
tdtruett,1,3.0,0.0,3,0,0,0,False,False,0.0
techguy,1,1.0,0.0,1,0,0,0,False,False,0.0
techonomy,5,1.0,0.0,5,0,0,0,False,False,0.0
techzee1,6,1.0,0.0,6,0,0,0,False,False,0.0
tedr,3,3.33,3.67,10,11,2,1,False,False,0.67
tedserbinski,4,3.5,0.75,14,3,1,0,False,False,0.25
tek_fin,1,1.0,0.0,1,0,0,0,False,False,0.0
tger_tger,1,2.0,0.0,2,0,0,0,False,False,0.0
theagent,1,2.0,0.0,2,0,0,0,False,False,0.0
thenewb,1,2.0,0.0,2,0,0,0,False,False,0.0
thesmitpatel,1,1.0,0.0,1,0,0,0,False,False,0.0
thetylerhayes,15,2.47,1.93,37,29,6,1,False,False,0.4
tiffanydstone,17,2.18,0.76,37,13,7,1,False,False,0.41
timrpeterson,1,0.0,0.0,0,0,0,0,False,False,0.0
tlongren,24,1.08,0.0,26,0,0,0,False,False,0.0
tmztmobile,4,2.0,1.5,8,6,1,1,False,False,0.25
tomcritchlow,12,3.17,2.92,38,35,7,3,False,False,0.58
tommyhump,1,1.0,0.0,1,0,0,0,False,False,0.0
tommyrva,2,1.0,0.0,2,0,0,0,False,False,0.0
tonyfelice,1,9.0,0.0,9,0,0,0,False,False,0.0
torbahax,2,3.5,0.5,7,1,1,0,False,False,0.5
trevoragilbert,1,2.0,0.0,2,0,0,0,False,False,0.0
tysonium,2,2.0,1.5,4,3,1,0,False,False,0.5
uAutoInsurance1,2,1.5,0.5,3,1,1,0,False,False,0.5
user41658,1,1.0,0.0,1,0,0,0,False,False,0.0
usv,2,1.0,0.0,2,0,0,0,False,False,0.0
usvcommunity,1,1.0,0.0,1,0,0,0,False,False,0.0
utengr,6,2.5,0.67,15,4,1,0,False,False,0.17
vesterinen,1,4.0,3.0,4,3,1,0,False,False,1.0
victortrac,1,1.0,0.0,1,0,0,0,False,False,0.0
vijayssundaram,2,2.5,0.5,5,1,1,0,False,False,0.5
vitor,1,3.0,3.0,3,3,1,0,False,False,1.0
vladomer,1,1.0,0.0,1,0,0,0,False,False,0.0
volatileread,1,1.0,0.0,1,0,0,0,False,False,0.0
votrite,1,1.0,0.0,1,0,0,0,False,False,0.0
vozagvozag,1,3.0,0.0,3,0,0,0,False,False,0.0
waxzce,5,4.0,0.0,20,0,0,0,False,False,0.0
webbee,4,1.5,0.0,6,0,0,0,False,False,0.0
whereandy,1,1.0,0.0,1,0,0,0,False,False,0.0
whitneymcn,5,6.0,5.0,30,25,2,2,False,False,0.4
winwood1979,1,1.0,0.0,1,0,0,0,False,False,0.0
wirelessjoe,1,5.0,3.0,5,3,1,0,False,False,1.0
wkoffel,6,1.17,0.0,7,0,0,0,False,False,0.0
wmougayar,394,2.38,1.09,936,428,123,30,False,False,0.31
womenceosrock,3,0.67,0.0,2,0,0,0,False,False,0.0
wschenk,1,1.0,0.0,1,0,0,0,False,False,0.0
xcopy_co,6,0.83,0.0,5,0,0,0,False,False,0.0
yangforjindam,4,1.25,0.0,5,0,0,0,False,False,0.0
ycwest,1,4.0,2.0,4,2,1,0,False,False,1.0
yegg,6,7.67,1.5,46,9,3,1,False,False,0.5
yes,1,1.0,2.0,1,2,1,0,False,False,1.0
yoktan,2,2.5,0.0,5,0,0,0,False,False,0.0
yvonchou,1,3.0,0.0,3,0,0,0,False,False,0.0
yvoschaap,4,11.0,3.0,44,12,2,1,False,False,0.5
zacpappis,1,2.0,0.0,2,0,0,0,False,False,0.0
zmh,2,5.0,1.0,10,2,2,0,False,False,1.0
zsims,1,3.0,0.0,3,0,0,0,False,False,0.0
